cod_siruta,cod_judet,denumire_judet,tip_uat,tip_uat_abrev,denumire_uat
10,1,Alba,11,CJ,CONSILIUL JUDETEAN
1017,1,Alba,12,M,ALBA  IULIA
1213,1,Alba,12,M,AIUD
1348,1,Alba,12,M,BLAJ
1874,1,Alba,12,M,SEBES
1151,1,Alba,13,O,ABRUD
2915,1,Alba,13,O,BAIA  DE  ARIES
1455,1,Alba,13,O,CAMPENI
1696,1,Alba,13,O,CUGIR
1794,1,Alba,13,O,OCNA  MURES
8096,1,Alba,13,O,TEIUS
1936,1,Alba,13,O,ZLATNA
2130,1,Alba,14,C,ALBAC
2309,1,Alba,14,C,ALMASU MARE
2381,1,Alba,14,C,ARIESENI
2577,1,Alba,14,C,AVRAM  IANCU
2988,1,Alba,14,C,BERGHIN
3039,1,Alba,14,C,BISTRA
3397,1,Alba,14,C,BLANDIANA
9026,1,Alba,14,C,BUCERDEA GRANOASA
3459,1,Alba,14,C,BUCIUM
3761,1,Alba,14,C,CENADE
3805,1,Alba,14,C,CERGAU
3841,1,Alba,14,C,CERU BACAINTI
3958,1,Alba,14,C,CETATEA  DE  BALTA
1071,1,Alba,14,C,CIUGUD
4008,1,Alba,14,C,CIURULEASA
4106,1,Alba,14,C,CALNIC
4142,1,Alba,14,C,CRICAU
4188,1,Alba,14,C,CRACIUNELUL DE JOS
9019,1,Alba,14,C,CUT
4240,1,Alba,14,C,DAIA  ROMANA
4268,1,Alba,14,C,DOSTAT
4302,1,Alba,14,C,FARAU
4366,1,Alba,14,C,GALDA DE JOS
4482,1,Alba,14,C,GARBOVA
4525,1,Alba,14,C,GARDA DE SUS
4703,1,Alba,14,C,HOPARTA
4767,1,Alba,14,C,HOREA
4927,1,Alba,14,C,IGHIU
4981,1,Alba,14,C,INTREGALDE
5103,1,Alba,14,C,JIDVEI
5167,1,Alba,14,C,LIVEZILE
5210,1,Alba,14,C,LOPADEA NOUA
5309,1,Alba,14,C,LUNCA  MURES
5336,1,Alba,14,C,LUPSA
5577,1,Alba,14,C,METES
5700,1,Alba,14,C,MIHALT
5755,1,Alba,14,C,MIRASLAU
5826,1,Alba,14,C,MOGOS
6048,1,Alba,14,C,NOSLAC
6119,1,Alba,14,C,OCOLIS
6164,1,Alba,14,C,OHABA
6217,1,Alba,14,C,PIANU
6271,1,Alba,14,C,POIANA  VADULUI
6397,1,Alba,14,C,PONOR
6468,1,Alba,14,C,POSAGA
6547,1,Alba,14,C,RADESTI
6592,1,Alba,14,C,RIMETEA
6627,1,Alba,14,C,RAMET
6761,1,Alba,14,C,ROSIA MONTANA
6930,1,Alba,14,C,ROSIA DE SECAS
6976,1,Alba,14,C,SALCIUA
7044,1,Alba,14,C,SALISTEA
7099,1,Alba,14,C,SASCIORI
7197,1,Alba,14,C,SCARISOARA
7348,1,Alba,14,C,SANCEL
7384,1,Alba,14,C,SANTIMBRU
7446,1,Alba,14,C,SOHODOL
7767,1,Alba,14,C,STREMT
7810,1,Alba,14,C,SIBOT
7865,1,Alba,14,C,SONA
7945,1,Alba,14,C,SPRING
8014,1,Alba,14,C,SUGAG
8158,1,Alba,14,C,UNIREA
8229,1,Alba,14,C,VADU MOTILOR
8354,1,Alba,14,C,VALEA  LUNGA
8425,1,Alba,14,C,VIDRA
8826,1,Alba,14,C,VINTU DE JOS
29,2,ARAD,11,CJ,CONSILIUL JUDETEAN
9262,2,ARAD,12,M,Arad
9459,2,ARAD,13,O,Chişineu-Criş
9495,2,ARAD,13,O,Curtici
9538,2,ARAD,13,O,Ineu
9574,2,ARAD,13,O,Lipova
9627,2,ARAD,13,O,Nădlac
9654,2,ARAD,13,O,Pâncota
11584,2,ARAD,13,O,Pecica
12091,2,ARAD,13,O,Sântana
9690,2,ARAD,13,O,Sebiş
9743,2,ARAD,14,C,Almaş
9798,2,ARAD,14,C,Apateu
9832,2,ARAD,14,C,Archiş
9887,2,ARAD,14,C,Bata
9930,2,ARAD,14,C,Beliu
10006,2,ARAD,14,C,Birchiş
10051,2,ARAD,14,C,Bârsa
10104,2,ARAD,14,C,Bârzava
10195,2,ARAD,14,C,Bocsig
10239,2,ARAD,14,C,Brazii
10293,2,ARAD,14,C,Buteni
10346,2,ARAD,14,C,Cărand
10373,2,ARAD,14,C,Cermei
10417,2,ARAD,14,C,Chisindia
10453,2,ARAD,14,C,Conop
10514,2,ARAD,14,C,Covăsânţ
10532,2,ARAD,14,C,Craiva
10649,2,ARAD,14,C,Dezna
10701,2,ARAD,14,C,Dieci
12912,2,ARAD,14,C,Dorobanţi
9280,2,ARAD,14,C,Fântânale
10827,2,ARAD,14,C,Felnac
12920,2,ARAD,14,C,Frumuşeni
10872,2,ARAD,14,C,Ghioroc
10916,2,ARAD,14,C,Grăniceri
10943,2,ARAD,14,C,Gurahonţ
11058,2,ARAD,14,C,Hălmagiu
11174,2,ARAD,14,C,Hălmăgel
11236,2,ARAD,14,C,Hăşmaş
11307,2,ARAD,14,C,Igneşti
11352,2,ARAD,14,C,Iratoşu
9333,2,ARAD,14,C,Livada
11398,2,ARAD,14,C,Macea
11423,2,ARAD,14,C,Mişca
11478,2,ARAD,14,C,Moneasa
11502,2,ARAD,14,C,Olari
11539,2,ARAD,14,C,Păuliş
11637,2,ARAD,14,C,Peregu - Mare
11664,2,ARAD,14,C,Petriş
11735,2,ARAD,14,C,Pilu
11762,2,ARAD,14,C,Pleşcuţa
11842,2,ARAD,14,C,Săvârşin
11940,2,ARAD,14,C,Secusigiu
11995,2,ARAD,14,C,Seleuş
12037,2,ARAD,14,C,Semlac
12055,2,ARAD,14,C,Sintea - Mare
12126,2,ARAD,14,C,Socodor
12144,2,ARAD,14,C,Şagu
12206,2,ARAD,14,C,Şeitin
12224,2,ARAD,14,C,Şepreuş
12242,2,ARAD,14,C,Şicula
12288,2,ARAD,14,C,Şilindia
12340,2,ARAD,14,C,Şimand
12368,2,ARAD,14,C,Şiria
12402,2,ARAD,14,C,Şiştarovăţ
9360,2,ARAD,14,C,Şofronea
12457,2,ARAD,14,C,Tauţ
12509,2,ARAD,14,C,Târnova
10765,2,ARAD,14,C,Ususău
12572,2,ARAD,14,C,Vărădia de Mureş
12643,2,ARAD,14,C,Vinga
12689,2,ARAD,14,C,Vârfurile
9397,2,ARAD,14,C,Vladimirescu
12778,2,ARAD,14,C,Zăbrani
12938,2,ARAD,14,C,Zădăreni
12812,2,ARAD,14,C,Zărand
12849,2,ARAD,14,C,Zerind
12876,2,ARAD,14,C,Zimandul Nou
38,3,ARGES,11,CJ,CONSILIUL JUDETEAN
13169,3,ARGES,12,M,Pitesti
13490,3,ARGES,12,M,Campulung
13622,3,ARGES,12,M,Curtea de Arges
13301,3,ARGES,13,O,Mioveni
13668,3,ARGES,13,O,Costesti
13757,3,ARGES,13,O,Topoloveni
13392,3,ARGES,13,O,Stefanesti
13819,3,ARGES,14,C,Albestii de Arges
13891,3,ARGES,14,C,Albestii de Muscel
13935,3,ARGES,14,C,Albota
13999,3,ARGES,14,C,Aninoasa
14049,3,ARGES,14,C,Arefu
13187,3,ARGES,14,C,Bascov
14085,3,ARGES,14,C,Babana
14165,3,ARGES,14,C,Baiculesti
14272,3,ARGES,14,C,Balilesti
14352,3,ARGES,14,C,Beleti-Negresti
14405,3,ARGES,14,C,Berevoesti
14450,3,ARGES,14,C,Birla
14584,3,ARGES,14,C,Bogati
14673,3,ARGES,14,C,Boteni
14726,3,ARGES,14,C,Botesti
13276,3,ARGES,14,C,Bradu
14753,3,ARGES,14,C,Bradulet
14851,3,ARGES,14,C,Budeasa
14922,3,ARGES,14,C,Bughea de Jos
14940,3,ARGES,14,C,Buzoiesti
15064,3,ARGES,14,C,Caldararu
15108,3,ARGES,14,C,Calinesti
15233,3,ARGES,14,C,Cateasca
15313,3,ARGES,14,C,Cepari
15402,3,ARGES,14,C,Cetateni
15448,3,ARGES,14,C,Cicanesti
15493,3,ARGES,14,C,Ciofrangeni
15554,3,ARGES,14,C,Ciomagesti
15652,3,ARGES,14,C,Cocu
15741,3,ARGES,14,C,Corbeni
15830,3,ARGES,14,C,Corbi
15901,3,ARGES,14,C,Cosesti
15983,3,ARGES,14,C,Cotmeana
16132,3,ARGES,14,C,Cuca
16285,3,ARGES,14,C,Davidesti
16329,3,ARGES,14,C,Dambovicioara
16365,3,ARGES,14,C,Darmanesti
16427,3,ARGES,14,C,Dobresti
16454,3,ARGES,14,C,Domnesti
16472,3,ARGES,14,C,Dragoslavele
16506,3,ARGES,14,C,Draganu
16551,3,ARGES,14,C,Godeni
16613,3,ARGES,14,C,Harsesti
16659,3,ARGES,14,C,Hartiesti
